,number_in_team,team,headshot_src,lastName,firstName,id
203,7,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629312.png,Highsmith,Haywood,203
204,3,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201588.png,Hill,George,204
205,44,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203524.png,Hill,Solomon,205
206,3,Pacers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png,Holiday,Aaron,206
207,11,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png,Holiday,Jrue,207
208,7,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203200.png,Holiday,Justin,208
209,24,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626178.png,Hollis-Jefferson,Rondae,209
210,21,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626158.png,Holmes,Richaun,210
211,5,Trail Blazers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203918.png,Hood,Rodney,211
212,22,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203816.png,Hopson,Scotty,212
213,42,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,Horford,Al,213
214,4,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627863.png,House Jr.,Danuel,214
