,index,year,round,pick,player,position,school
526,948,1998,2,30.0,"Sesay, Ansu",SF,Mississippi
527,949,1998,2,31.0,"Patterson, Ruben",SF,Cincinnati
528,950,1998,2,32.0,"Lewis, Rashard",PF,Alief Elsik HS
529,951,1998,2,33.0,"McCoy, Jelani",F/C,UCLA
530,952,1998,2,34.0,"Williams, Shammond",PG,North Carolina
531,953,1998,2,35.0,"Šundov, Bruno",C,Split
532,954,1998,2,36.0,"James, Jerome",C,Florida A&M
533,955,1998,2,37.0,"Shaw, Casey",C,Toledo
534,956,1998,2,38.0,"Johnson, DeMarco",PF,Charlotte
535,957,1998,2,39.0,"Alston, Rafer",PG,Fresno State
536,958,1998,2,40.0,"Young, Korleone",SF,Hargrave Military Academy
537,959,1998,2,41.0,"Mobley, Cuttino",SG,Rhode Island
538,960,1998,2,42.0,"Simon, Miles",SG,Arizona
539,961,1998,2,43.0,"White, Jahidi",F/C,Georgetown
540,962,1998,2,44.0,"Marks, Sean",PF,California
541,963,1998,2,45.0,"Bailey, Toby",SG,UCLA
542,964,1998,2,46.0,"Patterson, Andrae",SF,Indiana
543,965,1998,2,47.0,"Wheeler, Tyson",PG,Rhode Island
544,966,1998,2,48.0,"Stack, Ryan",C,South Carolina
545,967,1998,2,49.0,"Carr, Cory",SG,Texas Tech
546,968,1998,2,50.0,"Betts, Andrew",C,Long Beach State
547,969,1998,2,51.0,"Brewer, Corey",PG,Oklahoma
548,970,1998,2,52.0,"Dial, Derrick",SG,Eastern Michigan
549,971,1998,2,53.0,"Buckner, Greg",SG,Clemson
550,972,1998,2,54.0,"Fowlkes, Tremaine",SF,Fresno State
551,973,1998,2,55.0,"Bowen, Ryan",SF,Iowa
552,974,1998,2,56.0,"Henderson, J. R.",SF,UCLA
553,975,1998,2,57.0,"Braggs, Torraye",PF,Xavier
554,976,1998,2,58.0,"Baston, Maceo",PF,Michigan
555,977,1999,1,1.0,"Brand, Elton",PF/C,Duke
556,978,1999,1,2.0,"Francis, Steve",PG,Maryland
557,979,1999,1,3.0,"Davis, Baron",PG,UCLA
558,980,1999,1,4.0,"Odom, Lamar",PF/SF,Rhode Island
559,981,1999,1,5.0,"Bender, Jonathan",PF,Picayune Memorial HS
560,982,1999,1,6.0,"Szczerbiak, Wally",SG/SF,Miami (OH)
561,983,1999,1,7.0,"Hamilton, Richard",SG/SF,Connecticut
562,984,1999,1,8.0,"Miller, Andre",PG,Utah
563,985,1999,1,9.0,"Marion, Shawn",SF/PF,UNLV
564,986,1999,1,10.0,"Terry, Jason",SG/PG,Arizona
565,987,1999,1,11.0,"Langdon, Trajan",SG,Duke
566,988,1999,1,12.0,"Radojević, Aleksandar",C,Barton County CC
567,989,1999,1,13.0,"Maggette, Corey",SF/SG,Duke
568,990,1999,1,14.0,"Avery, William",PG,Duke
569,991,1999,1,15.0,"Weis, Frédéric",C,Limoges
570,992,1999,1,16.0,"Artest, Ron",SF,St. John's
571,993,1999,1,17.0,"Bowdler, Cal",PF,Old Dominion
572,994,1999,1,18.0,"Posey, James",SG/SF,Xavier
573,995,1999,1,19.0,"Lewis, Quincy",SF,Minnesota
574,996,1999,1,20.0,"Glover, Dion",SG,Georgia Tech
575,997,1999,1,21.0,"Foster, Jeff",PF,Southwest Texas State
576,998,1999,1,22.0,"Thomas, Kenny",PF,New Mexico
577,999,1999,1,23.0,"George, Devean",SF,Augsburg
578,1000,1999,1,24.0,"Kirilenko, Andrei",SF,CSKA Moscow
579,1001,1999,1,25.0,"James, Tim",SF,Miami
580,1002,1999,1,26.0,"Cummings, Vonteego",PG,Pittsburgh
581,1003,1999,1,27.0,"Jones, Jumaine",SF,Georgia
582,1004,1999,1,28.0,"Padgett, Scott",PF,Kentucky
583,1005,1999,1,29.0,"Smith, Leon",PF,King College Prep HS
584,1006,1999,2,30.0,"Celestand, John",PG,Villanova
585,1007,1999,2,31.0,"Hill, Rico",F,Illinois State
586,1008,1999,2,32.0,"Ruffin, Michael",PF,Tulsa
587,1009,1999,2,33.0,"Herren, Chris",G,Fresno State
588,1010,1999,2,34.0,"Eschmeyer, Evan",C,Northwestern
589,1011,1999,2,35.0,"Booth, Calvin",C,Penn State
590,1012,1999,2,36.0,"Wang Zhizhi,",C,Bayi Rockets
591,1013,1999,2,37.0,"Ekezie, Obinna",C,Maryland
592,1014,1999,2,38.0,"Profit, Laron",SG/SF,Maryland
593,1015,1999,2,39.0,"Bramlett, A. J.",C,Arizona
594,1016,1999,2,40.0,"Giriček, Gordan",G/F,CSKA Moscow
595,1017,1999,2,41.0,"Elson, Francisco",C,California
596,1018,1999,2,42.0,"Bullock, Louis",G,Michigan
597,1019,1999,2,43.0,"Nailon, Lee",SF,TCU
598,1020,1999,2,44.0,"Washington, Tyrone",C,Mississippi State
599,1021,1999,2,45.0,"Robertson, Ryan",G,Kansas
600,1022,1999,2,46.0,"Koch, J. R.",F,Iowa
601,1023,1999,2,47.0,Macculloch,C,Washington
602,1024,1999,2,48.0,"Young, Galen",G,Charlotte
603,1025,1999,2,49.0,"Ketner, Lari",C,UMass
604,1026,1999,2,50.0,"Hamilton, Venson",C,Nebraska
605,1027,1999,2,51.0,"Smith, Antwain",F,Saint Paul's
606,1028,1999,2,52.0,"Bergersen, Roberto",G,Boise State
607,1029,1999,2,53.0,"Buford, Rodney",SG,Creighton
