,year,round,pick,position,school,firstName,lastName
446,1997,1,7,SF,Villanova,Thomas,Tim
447,1997,1,8,C,Colgate,Foyle,Adonal
448,1997,1,9,SG/SF,Mt. Zion Christian Academy,McGrady,Tracy
449,1997,1,10,PF,Cincinnati,Fortson,Danny
450,1997,1,11,SF,San Jose State,Abdul-Wahad,Tariq
451,1997,1,12,PF,Providence,Croshere,Austin
452,1997,1,13,SG,Kentucky,Anderson,Derek
453,1997,1,14,PF,Michigan,Taylor,Maurice
454,1997,1,15,C,Iowa State,Cato,Kelvin
455,1997,1,16,PG,Stanford,Knight,Brevin
456,1997,1,17,PF,Chattanooga,Taylor,Johnny
457,1997,1,18,PF,SE Melbourne Magic,Anstey,Chris
458,1997,1,19,C,Kansas,Pollard,Scot
459,1997,1,20,C,Wisconsin,Grant,Paul
460,1997,1,21,SG,Bradley,Parker,Anthony
461,1997,1,22,PG/SG,California,Gray,Ed
462,1997,1,23,PG,Minnesota,Jackson,Bobby
463,1997,1,24,SG,USC,Rhodes,Rodrick
464,1997,1,25,C,Minnesota,Thomas,John
465,1997,1,26,SG,New Mexico,Smith,Charles
466,1997,1,27,PG,Kansas,Vaughn,Jacque
467,1997,1,28,SF,Maryland,Booth,Keith
468,1997,2,29,C,North Carolina,Zwikker,Serge
469,1997,2,30,SF/PF,Washington,Sanford,Mark
470,1997,2,31,PG,UCLA,O'Bannon,Charles
471,1997,2,32,SF,Long Beach State,Cotton,James
472,1997,2,33,PG/SG,Smelt Olimpija,Milič,Marko
473,1997,2,34,SF/PF,Austin Peay,Wells,Bubba
474,1997,2,35,SF/PF,Cal State Bakersfield,Stewart,Kebu
475,1997,2,36,PG/SG,Florida State,Collins,James
476,1997,2,37,SF/PF,Temple,Jackson,Marc
477,1997,2,38,PF,Tulane,Honeycutt,Jerald
478,1997,2,39,PG/SG,College of Charleston,Johnson,Anthony
479,1997,2,40,SF,Georgia Tech,Elisma,Ed
480,1997,2,41,C,Villanova,Lawson,Jason
481,1997,2,42,SG,Butler CC,Jackson,Stephen
482,1997,2,43,SF,West Virginia,Malone,Gordon
483,1997,2,44,PF,Memphis,Henderson,Cedric
484,1997,2,45,PG,Providence,Shammgod,God
485,1997,2,46,SG,Alabama,Washington,Eric
486,1997,2,47,PG,Villanova,Williams,Alvin
487,1997,2,48,C,KK Partizan,Drobnjak,Predrag
488,1997,2,49,SG,ASVEL Lyon-Villeurbanne,Digbeu,Alain
489,1997,2,50,SF,Marquette,Crawford,Chris
490,1997,2,51,PG,Louisville,Wheat,DeJuan
491,1997,2,52,PG/SG,Indian Hills CC,Bruton,C.J.
492,1997,2,53,C,Gonzaga,Rogers,Paul
493,1997,2,54,C,Pittsburgh,Blount,Mark
494,1997,2,55,C,Newcastle Falcons,Pepper,Ben
495,1997,2,56,SG,Oklahoma,Erdmann,Nate
496,1997,2,57,C,FC Barcelona,Dueñas,Roberto
497,1998,1,1,C,Pacific,Olowokandi,Michael
498,1998,1,2,PG,Arizona,Bibby,Mike
499,1998,1,3,C/F,Kansas,LaFrentz,Raef
500,1998,1,4,F,North Carolina,Jamison,Antawn
501,1998,1,5,G/F,North Carolina,Carter,Vince
502,1998,1,6,F/C,Michigan,Traylor,Robert
503,1998,1,7,PG,Florida,Williams,Jason
504,1998,1,8,SG,Saint Louis,Hughes,Larry
505,1998,1,9,PF,DJK Würzburg,Nowitzki,Dirk
506,1998,1,10,G/F,Kansas,Pierce,Paul
507,1998,1,11,G/F,Ball State,Wells,Bonzi
508,1998,1,12,C,Utah,Doleac,Michael
